Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2020-12-15,Mission to Mars,2000,https://boxd.it/1vRiqz,2,,,2000-03-11
2021-09-20,The Incredibles,2004,https://boxd.it/29lGyN,5,,janss,2004-11-14
2021-09-20,Night at the Museum,2006,https://boxd.it/29lI2J,3,,pine sq,2006-12-22
2021-09-20,Semi-Pro,2008,https://boxd.it/29lGTr,1,,marina pacifica,2008-02-29
2015-02-28,28 Days Later,2002,https://boxd.it/5e1dt,4,,,2009-02-27
2015-03-02,Day for Night,1973,https://boxd.it/5fbHb,4,,,2009-03-01
2015-03-07,Watchmen,2009,https://boxd.it/5hQlT,4.5,,,2009-03-05
2015-03-08,The Iron Giant,1999,https://boxd.it/5inMj,4.5,,,2009-03-07
2015-03-11,The Lovers on the Bridge,1991,https://boxd.it/5kbJh,4,,,2009-03-10
2015-03-29,Frozen River,2008,https://boxd.it/5t0MH,3,,,2009-03-28
2015-02-28,The Room,2003,https://boxd.it/5e1hb,0.5,Yes,,2010-02-26
2021-05-10,Scott Pilgrim vs. the World,2010,https://boxd.it/1QMIcx,5,,"comic-con, balboa-theater, w-max, premiere",2010-07-22
2019-06-11,Certified Copy,2010,https://boxd.it/JwtuX,4.5,,,2012-04-22
2019-06-11,Eddie Izzard: Definite Article,1996,https://boxd.it/JwtQz,3.5,,,2012-04-22
2019-06-11,Presumed Innocent,1990,https://boxd.it/Jwu2Z,3.5,,,2012-04-28
2019-06-11,Wet Hot American Summer,2001,https://boxd.it/JwufT,4,,,2012-05-26
2019-06-11,Zach Galifianakis: Live at the Purple Onion,2007,https://boxd.it/JwuGF,3.5,,netflix,2012-06-11
2019-06-11,Stella: Live in Boston,2009,https://boxd.it/JwuQb,3,,netflix,2012-06-30
2019-06-11,Take Me Home Tonight,2011,https://boxd.it/JwuZ3,3,,netflix,2012-07-06
2019-06-11,Jim Gaffigan: Mr. Universe,2012,https://boxd.it/Jwv6X,,,netflix,2012-07-12
2019-06-11,Paper Moon,1973,https://boxd.it/Jwvif,4.5,,netflix,2012-08-13
2019-06-11,Sabrina,1954,https://boxd.it/Jwvtn,3.5,,netflix,2012-08-17
2019-06-11,Clue,1985,https://boxd.it/JwvFX,5,Yes,netflix,2012-10-28
