date,show,theater,location,time,specialTags,customTags,seat,rating,review,notes
"1997-04-01T08:00:00Z","1776","Lobero Theatre","Santa Barbara, CA","","","","","","",""
"1998-08-01T07:00:00Z","Beauty and the Beast","Palace Theatre","New York City","","","","","","",""
"1998-08-01T07:00:00Z","Blue Man Group","Astor Place","New York City","","","","","","",""
"2000-08-01T07:00:00Z","The Lion King","Pantages","Los Angeles, CA","","","","","","",""
"2003-01-01T08:00:00Z","The Producers","Pantages","Los Angeles, CA","","","","","","",""
"2005-03-01T08:00:00Z","As You Like It","Ahmanson Theatre","Los Angeles, CA","","","","","","",""
"2005-04-01T08:00:00Z","The Real Thing","South Coast Repertory","Costa Mesa, CA","","","","","","",""
"2005-07-08T07:00:00Z","The Mousetrap","St Martin's Theatre","London","","","","","","",""
"2005-07-14T07:00:00Z","Moulin Rouge","Moulin Rouge","Paris, FR","","","","","","",""
"2005-07-01T07:00:00Z","We Will Rock You","Dominion Theatre","London","","","","","","",""
"2005-08-01T07:00:00Z","Romance","Mark Taper Forum","Los Angeles, CA","","","David Mamet","","","",""
"2006-01-01T08:00:00Z","The Importance of Being Earnest","Ahmanson Theatre","Los Angeles, CA","","","","","","",""
"2006-08-16T07:00:00Z","A Midsummer Night's Dream","Kingsman Shakespeare Company","Thousand Oaks, CA","","","","","","",""
"2006-08-01T07:00:00Z","Spamalot","Sam S. Shubert Theatre","New York City","","","","","","",""
"2007-02-01T08:00:00Z","Speed-the-Plow","Geffen Playhouse","Los Angeles, CA","","","David Mamet, Mom, Dad","","","",""
"2007-05-01T07:00:00Z","Spider’s Web","Long Beach Playhouse","Long Beach, CA","","","Mom","","","",""
"2008-10-09T07:00:00Z","A Flea In Her Ear","Bing Theater","Los Angeles, CA","","","Hanna Stein","","","",""
"2008-01-01T08:00:00Z","Point Break Live!","Dragonfly Theater","Los Angeles, CA","","","Anna Mavromati","","","",""
"2009-06-01T07:00:00Z","Oleanna","Mark Taper Forum","Los Angeles, CA","","","Julia Stiles, Bill Pullman, David Mamet, Mom","","4.0","",""
"2010-03-01T08:00:00Z","The Beatles Love","The Mirage","Las Vegas","","","Mom, Nicole","","","",""
"2011-04-01T07:00:00Z","God of Carnage","","","Evening","","James Gandolfini, Hope Davis, Jeff Daniels, Marcia Gay Harden, Mom","","4.0","",""
"2012-10-16T07:00:00Z","Seminar","Ahmanson Theatre","Los Angeles, CA","Evening","","Jeff Golblum, Mom","","","",""
"2013-08-01T07:00:00Z","Hamlet","Kingsman Shakespeare Company","Thousand Oaks, CA","","","Mom","","","",""
"2013-01-01T08:00:00Z","The Tempest","Kingsman Shakespeare Company","Thousand Oaks, CA","","","Mom","","","",""
"2014-06-10T07:00:00Z","Richard III","Allen Elizabethan Theatre","Ashland, OR","","","","","","",""
"2014-08-01T07:00:00Z","Once","Pantages","Los Angeles, CA","","","Musical, Mom, Nicole","","","",""
"2015-04-07T07:00:00Z","The Book of Mormon","Nederlande Theatre","Chicago, IL","","","","","","",""
"2015-04-14T07:00:00Z","The Second City’s 103Rd Mainstage Review: Panic On Cloud 9","Second City Chicago MainStage","Chicago, IL","","","","","","",""
"2015-04-18T07:00:00Z","#DateMe: An OkCupid Experiment","UP Comedy Club","Chicago, IL","","","","","","",""
"2015-04-01T07:00:00Z","Travesties","Remy Bumppo","Chicago, IL","","","Tom Stoppard","","3.5","",""
"2015-07-18T07:00:00Z","Glengarry Glen Ross","Shelton Theater","San Francisco, CA","","","David Mamet","","2.0","",""
"2015-01-01T08:00:00Z","American Buffalo","Geffen Playhouse","Los Angeles, CA","","","Mom","","","",""
"2016-04-10T07:00:00Z","Six Characters In Search Of An Author","A Noise Within","Pasadena, CA","","","Mom","","","",""
"2016-06-04T07:00:00Z","Hamilton","Richard Rodgers Theatre","New York City","Evening","","Original Cast","Rear Mezzanine Row F Seat 101","5.0","",""
"2016-08-01T07:00:00Z","Arcadia","A Noise Within","Pasadena, CA","","","Mom","","3.5","",""
"2016-08-01T07:00:00Z","TOM","Will Geer’s Theatricum Botanicum","Topanga, CA","","","Mom","","","",""
"2016-12-01T08:00:00Z","Amélie","Ahmanson Theatre","Los Angeles","","","Original Cast, Mom, Nicole, Philippa Soo","","","",""
"2016-01-01T08:00:00Z","A Funny Thing Happened on the Way to the Forum","Thousand Oaks Civic Arts Plaza","Thousand Oaks, CA","","","","","","",""
"2017-08-01T07:00:00Z","Love’s Labours Lost","Kingsman Shakespeare Company","Thousand Oaks, CA","","","Mom","","","",""
"2017-01-01T08:00:00Z","Hamilton","Pantages","Los Angeles, CA","","","Mom, Nicole","","","",""
"2018-04-15T07:00:00Z","Bright Star","The Hanover Theater","Worcester, MA","","","Lindsay","Mid-Balcony","2.5","",""
"2018-08-01T07:00:00Z","Second City’s e.t.c.’s 41st Revue Fantastic Super Great Nation Numero Uno","Second City e.t.c.","Chicago, IL","","","Lindsay","","4.0","",""
"2019-05-17T07:00:00Z","To Kill a Mockingbird","Sam S. Shubert Theatre","New York City","Evening","","Original Cast, Isabel","Balcony Center H109-110","4.0","",""
"2019-06-01T07:00:00Z","We Live in Cairo","American Repertory Theater","Cambridge, MA","Evening","","Isabel, Musical","","2.0","",""
"2019-08-01T07:00:00Z","Cymbeline","Commonwealth Shakespeare Company","Boston, MA","Evening","","Isabel, William Shakespeare","","","",""
"2021-08-16T07:00:00Z","The Tempest","Commonwealth Shakespeare Company","Boston, MA","","","Isabel, William Shakespeare","","2.5","",""
"2022-08-13T07:00:00Z","The Merry Wives of Windsor","Will Geer’s Theatricum Botanicum","Topanga, CA","Evening","","Isabel, Mom, Nicole, Dave, Left Early","","","",""
"2022-08-26T07:00:00Z","The Old Man And The Pool","Mark Taper Forum","Los Angeles, CA","","","Isabel","","","",""
"2023-03-05T08:00:00Z","Much Ado About Nothing","A Noise Within","Pasadena, CA","Matinee","","William Shakespeare","E111","3.5","",""
"2023-04-22T07:00:00Z","The Verdict","National Centre for Performing Arts - Experimental Theatre","Mumbai, IN","Evening","","","R4","","",""
"2023-05-28T07:00:00Z","Book Of Will","A Noise Within","Pasadena, CA","Matinee","","Isabel, Mom","","4.0","",""
"2023-07-01T07:00:00Z","The Two Gentlemen Of Verona","Kingsman Shakespeare Company","Thousand Oaks, CA","Evening","","Isabel, Mom","","3.0","",""
"2023-08-06T07:00:00Z","Big Band Beat","Broadway Music Theater","DisneySea, Japan","Evening","","","","","",""
"2023-08-07T07:00:00Z","Shin Suikoden","Kabuki-Za","Tokyo","Evening","","","","","",""
"2024-08-17T07:00:00Z","Clue","Ahmanson Theatre","Los Angeles","Matinee","","Mom, Nicole, Dave","","3.5","",""
"2025-06-07T07:00:00Z","Good Night, and Good Luck","Winter Garden Theatre","New York City","","","Livestream","","","",""
"2025-12-04T08:00:00Z","My Neighbour Totoro","Gillian Lynne Theatre","London","Evening","","","D41","5.0","",""
